2;0;3121.00;10.30;2203.00;0.00;0.20
3;0;3069.00;10.30;2292.00;0.00;0.32
4;0;2890.00;9.50;2328.00;0.00;0.68
5;0;2635.00;9.50;2135.00;0.00;0.80
6;0;3271.00;10.35;2249.00;0.00;0.28
7;0;2988.00;10.37;2308.00;0.00;0.28
8;0;3020.00;10.27;2180.00;0.00;0.24
9;0;1797.00;9.50;685.00;0.00;1.32
10;0;2737.00;10.90;2256.00;0.00;0.24
11;0;2804.00;10.67;2339.00;0.00;0.32
12;0;3201.00;10.25;2181.00;0.00;0.24
13;0;1181.00;9.50;732.00;0.00;1.48
14;0;2704.00;10.40;2219.00;0.00;0.16
15;0;3001.00;10.60;2371.00;0.00;0.32
16;0;4825.00;9.50;2072.00;0.00;0.84
17;0;2805.00;10.30;2081.00;0.00;0.24
18;0;3073.00;10.30;2280.00;0.00;0.20
19;0;3537.00;9.50;1265.00;0.00;1.04
20;0;2857.00;9.50;1751.00;0.00;0.60
21;0;2705.00;9.52;2295.00;0.00;0.12
22;0;2885.00;9.50;2433.00;0.00;0.24
23;0;3196.00;10.40;2208.00;0.00;0.24
24;0;4766.00;9.50;1120.00;0.00;1.00
25;0;4893.00;9.50;1805.00;0.00;1.16
26;0;3081.00;10.40;2289.00;0.00;0.32
27;0;2697.00;10.90;2246.00;0.00;0.32
28;0;4352.00;9.50;1097.00;0.00;0.92
29;0;3811.00;9.50;1250.00;0.00;0.76
30;0;2936.00;10.37;2348.00;0.00;0.28
31;0;3299.00;10.40;2211.00;0.00;0.20
32;0;2886.00;10.10;2256.00;0.00;0.24
33;0;4041.00;9.50;984.00;0.00;0.96
34;0;3595.00;9.50;1387.00;0.00;0.96
35;0;2793.00;10.20;2225.00;0.00;0.24
36;0;3017.00;10.15;2332.00;0.00;0.32
37;0;2970.00;9.52;2272.00;0.00;0.20
38;0;2778.00;9.50;2381.00;0.00;0.28
39;0;3067.00;10.35;2202.00;0.00;0.20
40;0;3029.00;10.37;2272.00;0.00;0.20
41;0;2052.00;9.50;591.00;0.00;0.80
42;0;2237.00;9.50;796.00;0.00;1.36
43;0;2199.00;9.50;1511.00;0.00;1.04
44;0;2834.00;10.25;2423.00;0.00;0.24
